,image,species,individual_id
0,00021adfb725ed.jpg,melon_headed_whale,12348
1,000562241d384d.jpg,humpback_whale,1636
2,0007c33415ce37.jpg,false_killer_whale,5842
3,0007d9bca26a99.jpg,bottlenose_dolphin,4551
4,00087baf5cef7a.jpg,humpback_whale,8721
5,000a8f2d5c316a.jpg,bottlenose_dolphin,11328
6,000be9acf46619.jpg,beluga,10736
7,000bef247c7a42.jpg,humpback_whale,4149
8,000c3d63069748.jpg,beluga,13625
9,000c476c11bad5.jpg,bottlenose_dolphin,10828
10,001001f099519f.jpg,minke_whale,1613
11,00103cbe9d25ce.jpg,fin_whale,1492
12,00144776eb476d.jpg,bottlenose_dolphin,11328
13,00167e8375c967.jpg,beluga,675
14,00177f3c614d1e.jpg,bottlenose_dolphin,7912
15,0017b3749cd769.jpg,bottlenose_dolphin,4153
16,0018064338b499.jpg,blue_whale,4345
17,001b0900f56e89.jpg,humpback_whale,11488
18,001cfade605960.jpg,blue_whale,15550
19,001f1a1f22da96.jpg,minke_whale,7354
20,0020004d64ae20.jpg,gray_whale,10309
21,00206a224e68de.jpg,blue_whale,6631
22,0022bdb8eb5684.jpg,humpback_whale,3265
23,00234b893ea9e8.jpg,false_killer_whale,11697
24,0024057bbc89a4.jpg,minke_whale,1082
25,00243d4b15bafc.jpg,beluga,3708
26,002618d6f63ebc.jpg,southern_right_whale,14980
27,0028f6fa123686.jpg,bottlenose_dolphin,9140
28,0029d877c29ab4.jpg,melon_headed_whale,11860
29,002ac5f9ad7c10.jpg,false_killer_whale,15079
30,002e00960cec44.jpg,common_dolphin,14228
31,002fb5fee50b97.jpg,humpback_whale,4249
32,0030835e895969.jpg,kiler_whale,1495
33,0032f90c7732b0.jpg,melon_headed_whale,9904
34,00354cd9244e28.jpg,beluga,9784
35,0036b5c11b39f3.jpg,pilot_whale,15520
36,0038d3be2513c0.jpg,blue_whale,6054
37,0039599b58fc80.jpg,bottlenose_dolphin,14059
38,00398cfc6f6675.jpg,beluga,8867
39,0039955230421d.jpg,beluga,5626
40,003ab41b6147f4.jpg,beluga,8995
41,003e374b59c0e1.jpg,dusky_dolphin,4213
42,003ffd805a5910.jpg,melon_headed_whale,2491
43,00405189464f9d.jpg,humpback_whale,12341
44,004132b34ded14.jpg,humpback_whale,3791
45,0042dfc65c7987.jpg,beluga,15392
46,0044ec4ae5ecfd.jpg,killer_whale,14044
47,0044fb81b4f1c7.jpg,humpback_whale,14513
48,0046ceef89b3fc.jpg,minke_whale,3398
49,004797c1c43563.jpg,false_killer_whale,480
50,0049b56a584eb1.jpg,bottlenose_dolphin,14059
51,004a0038d162d9.jpg,beluga,15222
52,004a7fef39cf16.jpg,humpback_whale,4318
53,004a923b0b401e.jpg,minke_whale,12567
54,004efe00a3e100.jpg,blue_whale,13417
55,005135ee15df6c.jpg,bottlenose_dolphin,3168
56,005248b53efb3c.jpg,humpback_whale,14861
57,0053d003390997.jpg,gray_whale,15448
58,00549928dca501.jpg,humpback_whale,203
59,005a9cc627a55d.jpg,long_finned_pilot_whale,8008
60,005b72434149fa.jpg,dusky_dolphin,2896
61,005e317de9a658.jpg,blue_whale,9414
62,005e53b1b6aada.jpg,minke_whale,3398
63,005f85f23464f8.jpg,humpback_whale,690
64,006033d6691cef.jpg,blue_whale,2870
65,006077a8e080fa.jpg,humpback_whale,2569
66,00621ef445e09f.jpg,bottlenose_dolphin,14752
67,00647f8ff9f243.jpg,sei_whale,15311
68,00665aba3c163b.jpg,humpback_whale,11593
69,0067205f90977d.jpg,melon_headed_whale,13946
70,006b2548d360a6.jpg,beluga,429
